master_cpd_id	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	inclusion_rationale	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles
660358	temsirolimus	BRD-K08177763	6.60E+01	FDA	CTEP;kinome;std-of-care	MTOR	inhibitor of mTOR	Selleck	S1044	CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OC(=O)C(C)(CO)CO
660363	abiraterone	BRD-K50071428	1.70E+01	FDA	std-of-care	CYP17A1	inhibitor of 17 alpha-hydroxylase and C17,20 lyase	Selleck	S1123	C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1
660364	docetaxel	BRD-A05821830	6.60E+01	FDA	std-of-care		inhibitor of microtubule assembly	Selleck	S1148	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)C2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C([C@@H](O)C1=O)C2(C)C
660391	nelarabine	BRD-K84466663	6.60E+01	FDA	CTEP;std-of-care	POLA1	deoxyguanosine analog; inhibitor of DNA synthesis	Selleck	S1213	COc1nc(N)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
660397	rigosertib	BRD-K55187425	6.60E+01	clinical	kinome	PIK3CA;PIK3CB;PLK1	inhibitor of polo-like kinase 1; inhibitor of PI3K catalytic subunits alpha and beta	Selleck	S1362	COc1cc(OC)c(\C=C\S(=O)(=O)Cc2ccc(OC)c(NCC(O)=O)c2)c(OC)c1
660409	AT7867	BRD-K12040459	6.60E+01	probe	chromatin;kinome	AKT1;AKT2;AKT3;RPS6KB2	inhibitor of AKT1/2/3 and S6K	Selleck	S1558	Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)-c1cn[nH]c1
660410	PD318088	BRD-A57798112	6.60E+01	probe	kinome	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2	Selleck	S1568	OCC(O)CONC(=O)c1cc(Br)c(F)c(F)c1Nc1ccc(I)cc1F
660411	KU-60019	BRD-K36016295	6.60E+01	probe	kinome	ATM	inhibitor of ataxia telangiectasia mutated (ATM)	Selleck	S1570	C[C@H]1CN(CC(=O)Nc2ccc3Sc4c(Cc3c2)cccc4-c2cc(=O)cc(o2)N2CCOCC2)C[C@@H](C)O1
660412	BIRB-796	BRD-K74065929	6.60E+01	probe	kinome	MAPK11;MAPK11;MAPK14	inhibitor of p38 MAPK	Selleck	S1574	Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C
660413	KW-2449	BRD-K21718444	6.60E+01	clinical	kinome	AURKA;FLT3	inhibitor of FLT3 and AURKA	Selleck	S2158	O=C(N1CCNCC1)c1ccc(cc1)\C=C\c1n[nH]c2ccccc12
660414	RAF265	BRD-K93123848	6.60E+01	clinical	kinome	BRAF;KDR	ihibitor of VEGFR2 and BRAF	Selleck	S2161	Cn1c(Nc2ccc(cc2)C(F)(F)F)nc2cc(Oc3ccnc(c3)-c3ncc([nH]3)C(F)(F)F)ccc12
660421	silmitasertib	BRD-K81458380	6.60E+01	clinical	kinome	CSNK2A1;CSNK2A2	inhibitor of casein kinase 2	Selleck	S2248	OC(=O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc21
660424	BRD-K03911514	BRD-K03911514	6.60E+01	probe	outreach		stapled helical peptide	Dana Farber Cancer Institute		CCCC[C@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1)[C@@H](C)CC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
660425	BRD-K16130065	BRD-K16130065	6.60E+01	probe	outreach		stapled helical peptide	Dana Farber Cancer Institute		CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@@H](NC1=O)[C@@H](C)CC)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(N)=O
660429	momelotinib	BRD-K87737963	6.60E+01	clinical	kinome	JAK1;JAK2	inhibitor of Janus kinases 1 and 2	Selleck	S2219	O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1
660430	CAL-101	BRD-K60866521	6.60E+01	clinical	kinome	PIK3CD	inhibitor of PI3K catalytic subunit delta	Selleck	S2226	CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
660431	LY-2157299	BRD-K78118466	6.60E+01	probe	kinome	TGFBR1	inhibitor of the transforming growth factor beta type 1 receptor	Selleck	S2230	Cc1cccc(n1)-c1nn2CCCc2c1-c1ccnc2ccc(cc12)C(N)=O
660432	WP1130	BRD-K43644456	6.60E+01	probe	lit-search	UCHL5;USP14;USP5;USP9X	inhibitor of the deubiquitinase activity of USP9X, USP5, USP14, and UCH37	Selleck	S2243	CCC[C@H](NC(=O)C(=C\c1cccc(Br)n1)\C#N)c1ccccc1
660433	OSI-027	BRD-K87124298	6.60E+01	clinical	lit-search	MTOR	inhibitor of mTORC1 and mTORC2	Selleck	S2624	COc1cccc2cc([nH]c12)-c1nc([C@H]2CC[C@@H](CC2)C(O)=O)n2ncnc(N)c12
660434	NVP-BSK805	BRD-K02017404	6.60E+01	probe	kinome	JAK2	inhibitor of Janus kinase 2	Selleck	S2686	Fc1cc(cc(F)c1CN1CCOCC1)-c1cccc2ncc(nc12)-c1cnn(c1)C1CCNCC1
660768	erlotinib:PLX-4032 (2:1 mol/mol)	BRD-M27152968	5.00E+01	probe	combination	EGFR;ERBB2;BRAF	inhibitor of EGFR and HER2;inhibitor of BRAF			COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC.CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F
660774	PIK-93	BRD-K29395450	6.60E+01	probe	kinome	PIK3CG	inhibitor of PI3K catalytic subunit gamma	Selleck	S1489	CC(=O)Nc1nc(C)c(s1)-c1ccc(Cl)c(c1)S(=O)(=O)NCCO
660777	AZD7762	BRD-K86525559	6.60E+01	clinical	kinome	CHEK1;CHEK2	inhibitor of checkpoint kinases 1 and 2	Selleck	S1532	NC(=O)Nc1cc(sc1C(=O)N[C@H]1CCCNC1)-c1cccc(F)c1
660778	birinapant	BRD-K18589165	6.60E+01	clinical	CTEP;lit-search	DIABLO;XIAP	SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)	Active Biochem	A-1901	CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@@H](O)C[C@H]1Cc1c([nH]c2cc(F)ccc12)-c1cc2c(C[C@@H]3C[C@H](O)CN3C(=O)[C@H](CC)NC(=O)[C@H](C)NC)cc(F)cc2[nH]1
660779	KX2-391	BRD-K29968218	6.60E+01	clinical	kinome	SRC	peptide mimetic; inhibitor of SRC activity in cells	Selleck	S2700	O=C(Cc1ccc(cn1)-c1ccc(OCCN2CCOCC2)cc1)NCc1ccccc1
660796	3-Cl-AHPC	BRD-A09890259	6.60E+01	probe	outreach	NR0B2	binder of nuclear receptor SHP	Sanford-Burnham Medical Research Institute		OC(=O)\C=C\c1ccc(c(Cl)c1)-c1ccc(O)c(c1)C12C[C@H]3C[C@H](C[C@H](C3)C1)C2
660797	BRD-K58730230	BRD-K58730230	6.60E+01	probe	outreach		stapled helical peptide	Dana Farber Cancer Institute		CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
660798	BRD-K27188169	BRD-K27188169	6.60E+01	probe	outreach		stapled helical peptide	Dana Farber Cancer Institute		CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N[C@@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
660819	KHS101	BRD-K78978711	6.60E+01	probe	lit-search	TACC3	binder of TACC3, a component of the centrosome and mitotic spindle	Sigma-Aldrich	K4019	CC(C)CNc1ccnc(NCc2csc(n2)-c2ccccc2)n1
660821	WAY-362450	BRD-K54640016	6.60E+01	probe	chromatin;lit-search	NR1H4	agonist of farnesoid X receptor	Axon Medchem	1749	CC(C)OC(=O)C1=CN(CC(C)(C)c2c1[nH]c1ccccc21)C(=O)c1ccc(F)c(F)c1
660823	JQ-1:vorinostat (2:1 mol/mol)	BRD-M56962220	5.00E+01	probe	combination	BRDT;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8			ONC(=O)CCCCCCC(=O)Nc1ccccc1.Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n-21)c1ccc(Cl)cc1
660839	BRD-K13185470	BRD-K13185470	6.60E+01	probe	outreach	MCL1	stapled helical peptide targeting MCL1	Dana Farber Cancer Institute		CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N[C@@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
660840	cabozantinib	BRD-K51544265	6.60E+01	FDA	CTEP;kinome	FLT3;KDR;MET;RET	inhibitor of c-MET, VEGFR2/3, and RET	Selleck	S1119	COc1cc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3)c2cc1OC
660857	crizotinib:PLX-4032 (2:1 mol/mol)	BRD-M95284333	5.00E+01	probe	combination	ALK;MET;BRAF	inhibitor of c-MET and ALK;inhibitor of BRAF			C[C@@H](Oc1cc(cnc1N)-c1cnn(c1)C1CCNCC1)c1c(Cl)ccc(F)c1Cl.CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F
660890	BRD-M00053801	BRD-M00053801	6.60E+01	probe	lit-search;synthesis	BCL2	inhibitor of BCL2	Broad Institute of MIT and Harvard		C[C@H](O)[C@@H]1[C@H](CO)ON(Cc2cccc(CN(CCN(C)C)[C@H](C3CCCCC3)c3ccccc3)c2)[C@@H]1C(=O)N[C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C.C[C@H](O)[C@@H]1[C@H](CO)ON(Cc2cccc(CN(CCN(C)C)[C@@H](C3CCCCC3)c3ccccc3)c2)[C@@H]1C(=O)N[C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C
660935	KPT185	BRD-K71467466	6.60E+01	probe	outreach	XPO1	inhibitor of exportin 1	Karyopharm Therapeutics	KPT-185-004	COc1cc(cc(c1)C(F)(F)F)-c1ncn(\C=C/C(=O)OC(C)C)n1
660985	pitstop2	BRD-K90570971	6.60E+01	probe	lit-search	CLTA;CLTB;CLTC;CLTCL1	inhibitor of clathrin and clathrin-independent endocytosis	Cellagen Technology	C7487-2	Brc1ccc(cc1)\C=C1/SC(NS(=O)(=O)c2cccc3ccccc23)=NC1=O
660993	R428	BRD-K14870255	6.60E+01	probe	kinome	AXL	inhibitor of the tyrosine-protein kinase receptor UFO	Symansis Cell Signaling Science	SY-R428/10	Nc1nc(Nc2ccc3CC[C@@H](CCc3c2)N2CCCC2)nn1-c1cc2CCCc3ccccc3-c2nn1
660994	ibrutinib	BRD-K70301465	6.60E+01	clinical	CTEP;kinome	BTK	inhibitor of Bruton's tyrosine kinase	Selleck	S2680	Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)[C@@H]1CCCN(C1)C(=O)C=C
661032	sotrastaurin	BRD-K16761703	6.60E+01	clinical	kinome	PRKCB	inhibitor of protein kinase C beta	Axon Medchem	1635	CN1CCN(CC1)c1nc(C2=C(C(=O)NC2=O)c2c[nH]c3ccccc23)c2ccccc2n1
661033	A-804598	BRD-K76894955	6.60E+01	probe	lit-search	P2RX7	inhibitor of purinergic receptor P2X	Tocris Bioscience	4473	C[C@H](\N=C(\NC#N)Nc1cccc2ncccc12)c1ccccc1
665818	BRD-K27188169:navitoclax (2:1 mol/mol)	BRD-M23096439	5.00E+01	probe	combination	BCL2;BCL2L1;BCL2L2	stapled helical peptide;inhibitor of BCL2, BCL-xL, and BCL-W			CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1.CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N[C@@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
665914	COL-3	BRD-A59431241	6.60E+01	clinical	outreach		analog of tetracycline	Harvard University		NC(=O)C1C(=O)C[C@@H]2C[C@@H]3Cc4cccc(O)c4C(=O)C3C(=O)[C@]2(O)C1=O
666541	ABT-199	BRD-K62391742	6.60E+01	clinical	lit-search	BCL2	inhibitor of BCL2	Active Biochem	A-1231	CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1
666716	ETP-46464	BRD-K24556407	6.60E+01	probe	lit-search	ATM;ATR	inhibitor of serine/threonine-protein kinase ATR	Spanish National Cancer Research Centre		CC(C)(C#N)c1ccc(cc1)N1C(=O)OCc2cnc3ccc(cc3c12)-c1cnc2ccccc2c1
666910	marinopyrrole A	BRD-K57261999	6.60E+01	probe	outreach	MCL1	natural product; putative inhibitor of MCL1	Harvard University		Oc1ccccc1C(=O)c1[nH]c(Cl)c(Cl)c1-n1c(cc(Cl)c1Cl)C(=O)c1ccccc1O
667933	methylstat	BRD-K52560704	6.60E+01	probe	chromatin;lit-search;outreach	KDM3A;KDM4A;KDM4B;KDM4C;KDM4D	inhibitor of lysine specific demethylases	Colorado State University		COC(=O)\C=C\C(=O)N(O)CCCCNCc1ccc(COC(=O)Nc2cccc3ccccc23)cc1
668495	BYL-719	BRD-K54997624	6.60E+01	clinical	kinome	PIK3CA	inhibitor of PI3K catalytic subunit alpha	Active Biochem	A-1214	Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(c1)C(C)(C)C(F)(F)F
668723	GSK2636771	BRD-K49215523	6.60E+01	clinical	kinome	PIK3CB	inhibitor of PI3K catalytic subunit beta	Active Biochem	A-1230	Cc1nc2c(cc(cc2n1Cc1cccc(c1C)C(F)(F)F)N1CCOCC1)C(O)=O
668858	SR8278	BRD-A02904414	6.60E+01	probe	lit-search	NR1D1	antagonist of Rev-ErbAalpha	EMD Biosciences	EMB-5547	CCOC(=O)C1Cc2ccccc2CN1C(=O)c1ccc(SC)s1
676728	JW-74	BRD-K75664313	6.60E+01	probe	lit-search		inhibitor of WNT signaling	Sigma-Aldrich	SML0227	COc1ccc(cc1)-n1c(SCc2nc(no2)-c2ccc(C)cc2)nnc1-c1ccncc1
677522	necrosulfonamide	BRD-K64117221	6.60E+01	probe	lit-search		inhibitor of downstream signaling of RIP3 associated with MLKL	Toronto Research Chemicals	N388600	COc1nccnc1NS(=O)(=O)c1ccc(NC(=O)\C=C\c2ccc(s2)[N+]([O-])=O)cc1
679843	HBX-41108	BRD-K50501969	6.60E+01	probe	lit-search	USP7	inhibitor of the deubiquitinase activity of USP7	Tocris Bioscience	4285	Clc1ccc-2c(c1)C(=O)c1nc(C#N)c(nc-21)C#N
679844	palmostatin B	BRD-K42137908	6.60E+01	probe	lit-search	LYPLA1	inhibitor of acyl-protein thioesterase 1	EMD Biosciences	178501	CCCCCCCCCC[C@H]1[C@H](CCc2ccc(OC)c(OC)c2)OC1=O
682993	JW-55	BRD-K53328210	6.60E+01	probe	lit-search	TNKS	inhibitor of tankyrase	ChemBridge Corporation	7667791	COc1ccc(cc1)C1(CNC(=O)c2ccc(NC(=O)c3ccco3)cc2)CCOCC1
686134	BRD-K03536150	BRD-K03536150	2.70E+02	probe	outreach	BAX	activator of BAX	Dana Farber Cancer Institute;Dana Farber Cancer Institute	DFCI-LW14	CC1=NN(C(=O)C\1=N\Nc1ccccc1C(O)=O)c1nc(cs1)-c1ccccc1
687395	BRD-K99006945	BRD-K99006945	6.60E+01	probe	chromatin;lit-search;synthesis		screening hit	Broad Institute of MIT and Harvard		CCN(CC)c1ccc(cc1)C1=NNC(=O)C[C@H]1C
687406	tivantinib	BRD-K33379087	6.60E+01	clinical	CTEP;kinome	MET	inhibitor of MET; inhibitor of microtubule assembly	Active Biochem	A-1109	O=C1NC(=O)[C@H]([C@@H]1c1c[nH]c2ccccc12)c1cn2CCCc3cccc1c23
687418	trametinib	BRD-K12343256	6.60E+01	clinical	CTEP;kinome	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2	Selleck	S2673	CC(=O)Nc1cccc(c1)-n1c2c(C)c(=O)n(C)c(Nc3ccc(I)cc3F)c2c(=O)n(C2CC2)c1=O
687577	RO4929097	BRD-K22024824	6.60E+01	clinical	CTEP	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	Selleck	S1575	CC(C)(C(=O)NCC(F)(F)C(F)(F)F)C(=O)N[C@H]1c2ccccc2-c2ccccc2NC1=O
687578	dinaciclib	BRD-K13662825	6.60E+01	clinical	chromatin;CTEP;kinome	CDK1;CDK2;CDK5;CDK9	inhibitor of cyclin-dependent kinases	Selleck	S2678	CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(nc12)N1CCCC[C@H]1CCO
687579	MLN2480	BRD-K43410529	6.60E+01	clinical	lit-search	ARAF;BRAF;RAF1	inhibitor of RAF kinases	Active Biochem	A-1192	C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(s1)C(=O)Nc1cc(c(Cl)cn1)C(F)(F)F
687661	BRD-K51831558	BRD-K51831558	6.60E+01	probe	chromatin;lit-search;synthesis	EZH2	inhibitor of enhancer of zeste polycomb repressive complex 2 subunit	Broad Institute of MIT and Harvard		CC(C)n1ncc2c(cc(Br)cc12)C(=O)NCc1c(C)cc(C)[nH]c1=O
687694	istradefylline	BRD-K87774949	3.30E+01	clinical	lit-search	ADORA2A	antagonist of the adenosine A2A receptor	Selleck	S2790	CCn1c2nc(\C=C\c3ccc(OC)c(OC)c3)n(C)c2c(=O)n(CC)c1=O
687714	MI-2	BRD-K90860366	6.60E+01	probe	chromatin;lit-search;synthesis	MEN1	binder of menin; inhibitor of menin-MLL fusion protein	Broad Institute of MIT and Harvard		CCCc1cc2c(ncnc2s1)N1CCN(CC1)C1=NCC(C)(C)S1
687715	BRD-K42260513	BRD-K42260513	6.60E+01	probe	chromatin;lit-search;synthesis	EZH2	inhibitor of enhancer of zeste polycomb repressive complex 2 subunit	Broad Institute of MIT and Harvard		CC(C)n1ncc2c(cc(cc12)-c1ccc(nc1)N1CCNCC1)C(=O)NCc1c(C)cc(C)[nH]c1=O
687720	alvocidib	BRD-K68682020	6.60E+01	clinical	CTEP;kinome	CDK1;CDK2;CDK4;CDK6	inhibitor of cyclin-dependent kinases	Selleck	S1230	CN1CC[C@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl
687721	CBB-1007	BRD-K84754008	6.60E+01	probe	lit-search	KDM1A	inhibitor of lysine-specific demethylase 1A (LSD1)	Broad Institute of MIT and Harvard		COC(=O)c1cc(CN2CCN(CC2)C(N)=N)cc(c1)C(=O)N1CCN(CC1)C(=O)c1ccc(cc1)C(N)=N
687735	GSK-J4	BRD-K98203492	6.60E+01	probe	chromatin;lit-search	KDM6A;KDM6B	inhibitor of lysine-specific demethylases	Tocris Bioscience	4594	CCOC(=O)CCNc1cc(nc(n1)-c1ccccn1)N1CCc2ccccc2CC1
687769	BRD-A86708339	BRD-A86708339	6.60E+01	probe	outreach		screening hit	Dana Farber Cancer Institute		Cc1ccc(cc1)C(NC(=O)c1ccccc1)c1ccc2cccnc2c1O
687953	PF-3758309	BRD-K37764012	6.60E+01	probe	kinome	PAK4	inhibitor of serine/threonine p21-activating kinase 4	Broad Institute of MIT and Harvard		CN(C)C[C@@H](NC(=O)N1Cc2c(Nc3nc(C)nc4ccsc34)n[nH]c2C1(C)C)c1ccccc1
687954	dabrafenib	BRD-K09951645	6.60E+01	clinical	CTEP;kinome	BRAF	inhibitor of BRAF	Active Biochem	A-1219	CC(C)(C)c1nc(c(s1)-c1ccnc(N)n1)-c1cccc(NS(=O)(=O)c2c(F)cccc2F)c1F
688138	SZ4TA2	BRD-K55125219	6.60E+01	probe	lit-search	BCL2L1	inhibitor of BCL-xL	Broad Institute of MIT and Harvard		CC1(C)CCN(CC1)c1ccc(cc1)C(=O)NS(=O)(=O)c1ccc(NCCSc2ccccc2)c(c1)[N+]([O-])=O
688229	AT13387	BRD-K58435339	6.60E+01	clinical	CTEP	HSP90AA1	inhibitor of HSP90	Selleck	S1163	CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O
688516	BCL-LZH-4	BRD-A68258842	6.60E+01	probe	lit-search;synthesis		inhibitor of BCL2, BCL-xL, and MCL1	Broad Institute of MIT and Harvard		COc1ccc(cc1)C1C(C(=O)Nc2ccccc2)=C(C)N=c2s\c(=C/c3cn(Cc4ccccc4)c4ccccc34)c(=O)n12
688799	skepinone-L	BRD-K83607951	6.60E+01	probe	kinome	MAPK14	inhibitor of p38 MAPK	Broad Institute of MIT and Harvard		OC[C@@H](O)COc1ccc2CCc3cc(Nc4ccc(F)cc4F)ccc3C(=O)c2c1
688888	BRD-K34222889	BRD-K34222889	6.60E+01	probe	outreach		analog of the natural product piperlongumine	Broad Institute of MIT and Harvard		COc1ccc(cc1)C#CC1=CCCN(C(=O)\C=C\c2cc(OC)c(OC)c(OC)c2)C1=O
688962	PF-4800567 hydrochloride	BRD-K43428468	6.60E+01	probe	kinome	CSNK1D;CSNK1E	inhibitor of casein kinase isoforms delta and epsilon	Tocris Bioscience	4281	Nc1ncnc2n(nc(COc3cccc(Cl)c3)c12)C1CCOCC1
688975	avicin D	BRD-A15100685	6.60E+01	probe	outreach		natural product	MD Anderson Cancer Center		CC1O[C@@H](OCC2O[C@@H](O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)[C@H](C[C@@]6([C@H](O)C[C@@]54C)C(=O)O[C@@H]4OC(CO)[C@@H](O)[C@@H](O)[C@@H]4O[C@@H]4OC(C)[C@H](O[C@@H]5O[C@@H](CO)[C@H](O)[C@@H]5O)[C@@H](O[C@@H]5OC(CO)[C@@H](O)[C@@H](O)[C@@H]5O)[C@@H]4O)OC(=O)C(\CO)=C\CC[C@](C)(O[C@@H]4OC(C)[C@@H](OC(=O)C(\CO)=C\CCC(C)(O)C=C)[C@@H](O)[C@@H]4O)C=C)C3(C)C)[C@@H](NC(C)=O)[C@H](O)[C@@H]2O)[C@@H](O[C@@H]2OC[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
